CSFId,CSF
46498,The Rock Chick Smoke
46499,The Rock Chick Pop
46500,Intense Black
46501,Bare Glow
46502,Bitten Kiss
46503,Bedroom Black
46504,Bubbly Berry
46505,Ocean Fruit
46506,Bubbly Berry
46507,Marshmallow
46508,Ocean Fruit
46509,Sal�
46510,Embruns
46511,Rivage
46512,Seaside
46513,Laguna
46514,Casino
46515,Get Off
46516,Intriguing
46517,Do Me Baby
46518,Famous Red
46519,Let's Go Crazy
46520,Pussy Control
46521,Dirty Mind
46522,Unspoken
46524,Pink
46525,Blue
46526,Green
46527,Purple
46528,Day - bronze
46529,Day  - sizzle
46530,Day - matte taupe
46531,Night - shimmer purple
46532,day - champagne shimmer
46533,night - charcoal
46534,night - granite
46535,night - crusty
46536,beam
46537,aura
46538,ultraviolet
46539,Fair liquid
46540,fair cream
46541,light liquid
46542,light cream
46543,medium liquid
46544,medium cream
46545,medium tan liquid
46546,medium tan cream
46547,tan liquid
46548,tan cream
46549,deep liquid
46550,deep cream
46551,CORAIL
46553,deep
46554,tan
46555,fair
46556,light
46557,medium tan
46558,medium
46559,sand
46560,honey
46561,supernova
46562,mother
46563,lolita
46564,crush
46565,dusty rose
46566,loversick
46567,vampira
46568,poppin
46569,flossy
46570,chillin
46571,facts
46572,flexin
46573,queen
46574,willow
46575,angel
46576,slayer
46577,buffy
46578,mars
46579,supernova
46580,rose
46581,LILAS
46582,HIBISCUS
46583,ANKARA
46584,MADRID
46585,PARME
46587,No. 11
46588,NO. 13
46589,No. 17
46590,No. 21
46591,No. 23
46592,No. 25
46593,No. 33
46594,No. 11
46595,No. 13
46596,No. 21
46597,No. 23
46598,No. 25
46599,No. 33
46600,Light/Medium
46601,CANNELLE
46602,PAPAYE
46603,CARMIN
46604,VIEUX ROSE
46605,ABRICOT
46606,PIVOINE
46607,CHOCOLAT
46608,GRIOTTE
46609,BORDEAUX
46610,RUBIS
46611,COQUELICOT
46612,PRUNE
46613,CLEMATITE
46614,DAHLIA
46615,AMANDE
46616,EGLANTINE
46617,CAMELIA
46618,BAMBOU
46619,SANGRIA
46620,GERANIUM
46621,MUSCADE
46622,NACARAT
46623,AMARANTE SECRET
46624,PHYSALIS
46625,CLIVIA
46626,TULIP
46627,FATAL RED
46628,NEON PINK
46629,VIBRANT FUCHSIA
46630,ANGEL PINK
46631,DIVINE NECTAR
46632,CREAMY ROSE
46633,ORANGE COGNAC
46634,BERRY JELLY
46635,CHERRY BLOSSOM
46636,CHERRY RED
46637,VELVET PEACH
46638,ROSE VINTAGE
46639,GLAM PINK
46640,MYSTIC VIOLET
46641,POWDER ROSE
46642,POPPY RED
46643,PARIS
46644,OSAKA
46645,MACAO
46646,SHANGHAI
46647,ST TROPEZ
46648,BAGHDAD
46649,HONG KONG
46650,GENEVE
46651,BEIRUT
46652,GLASGOW
46653,MEXICO
46654,BANGKOK
46655,LAS VEGAS
46656,NICOSIA
46657,GOLD
46658,IZMIR
46659,WHITE
46660,TOULOUSE
46661,DAKAR
46662,RIGA
46663,ZANZIBAR
46664,SAMOA
46665,MILANO
46666,ACAPULCO
46667,BILBAO
46668,SORRENTO
46669,BORDEAUX
46670,LA PAZ
46671,NICE
46672,LOS ANGELES
46673,MIAMI
46674,TOBAGO
46675,OLBIA
46676,AROSA
46677,RENO
46678,NEW DELHI
46679,WICHITA
46680,MARRAKECH
46681,LAVENDER
46682,PASHMINA
46683,TRENCH BEIGE
46684,TEA ROSE
46685,PINK BOUDOIR
46686,BALLERINA
46687,SKY BLUE
46688,WIND BREEZE
46689,TREASURE
46690,SUNSET ORANGE
46691,ORCHID MAUVE
46692,DUCHESS ROSE
46693,VELVET PRUNE
46694,CAFTAN BLUE
46695,FLANNEL GREY
46696,MARRON GLACE
46697,MAUVE CENDRE
46698,BRONZE GREEN
46699,BLUSH PINK
46700,SMOKY BLUE
46701,DARING PINK
46702,LAME GOLD
46703,SOUTH BEACH PINK
46704,BLUE CURACAO
46705,HONOLULU
46706,ST GERMAIN
46707,TRINIDAD
46708,JAIPUR
46709,BALI
46710,BAMAKO
46711,SAMARKAND
46712,CUZCO
46713,MAKORE
46714,ROSE
46715,ELEGANCE
46716,VELVET
46717,No. 21
46718,No. 23
46719,No. 33
46720,No. 35
46721,No. 37
46725,03-A
46726,03-B
46727,03-C
46728,03-D
46729,03-E
46730,Grey
46731,Brown
46732,Flavor
46733,Kiss Me Quick
46734,BLEU MINUIT
46735,VERT MORDORE
46736,BLANC
46737,GRIS ANTHRACITE
46738,VIOLINE
46739,TURQUOISE
46740,BLEU ROYAL
46741,OR
46742,BLEU ORAGE
46743,VIOLET SAUVAGE
46744,VERT VIF
46745,GRIS SUBTIL
46746,BRONZE PROFOND
46747,BRUN NOISETTE
46748,BLEU
46749,GRIS PERLE
46750,BLANC NACRE
46751,OR GLAMOUR
46752,MARRON
46753,BLOND
46754,ROUX
46759,Eye Enhance
46760,Eye Brighten
46761,Eye Smoke
46762,Face Bronzer
46763,05 BARBOSA EMERALD
46764,04 TEXAS TOPAZ
46765,BLEU MINUIT
46766,BLEU MINUIT
46767,NIGHT BLUE
46768,GLACIER BLUE
46769,NIGHT BLUE
46770,PEARL GREEN
46771,Fair
46772,Light
46773,Medium
46774,Medium-Dark
46775,Charlotte Gainsbourg Nuit D'Encre
46776,Charlotte Gainsbourg Zinc
46777,Charlotte Gainsbourg �ph�lide
46778,Charlotte Gainsbourg Promise
46779,Charlotte Gainsbourg Jo
46780,Charlotte Gainsbourg Old Church Street
46781,Charlotte Gainsbourg Rue Allent
46782,Charlotte Gainsbourg London Clinic
46783,Gainsbourg London Clinic
46784,Charlotte Gainsbourg London Clinic
46785,Beaumaris
46786,Castille
46787,Dover
46788,Foix
46789,Newbury Street
46790,Privilege
46791,Reale
46792,Splendor
46793,Versailles
46794,Windsor
46795,Shade 4
46796,Shade 4
46797,Shade 2
46798,Rose
46799,Capri
46800,Saint
46801,Greystone
46802,Vino
46803,Burgundy
46804,Boho
46805,In the Nude
46806,Naughty N'Spice
46807,Bondi Bae
46808,"Deep Maple, Eh"
46809,"Hey, Honey"
46810,Illumi-Naughty
46811,purple
46812,red
46813,yellow
46814,blue
46815,Cotton Candy
46816,Bubble Gum
46817,Strawberry
46818,Raspberry
46819,Grape
46820,Strawberry
46821,Orange
46822,Cherry
46823,Grape
46824,Mixed Berries
46825,Milk Chocolate Peanut butter
46826,Grape
46827,Strawberry
46828,Bubble Gum
46829,Milk Chocolate
46830,Chocolate
46831,Mint
46832,Apple
46833,Cherry
46834,Raspberry
46835,Donut
46836,Popcorn
46837,Strawberry
46838,Cookie
46839,Grape
46840,Fruit Punch
46841,Chocolate
46842,Berry Blast
46843,Pizza
46844,D&C  titanium dioxide C I. 77891
46845,Apple
46846,Orange
46847,Mixed Fruit
46848,Watermelon
46849,Cherry
46850,Lemonade
46851,Red Raspberry
46852,Grape
46853,Strawberry
46854,Passion Fruit
46855,Raspberry
46856,Sprite
46857,Sprite orange
46858,Orange
46859,Cherry
46860,Orange
46861,Strawberry
46862,Berry Blast
46863,Blue Raspberry watermelon
46864,Watermelon
46865,Green Apple
46866,Cheek Swish
46867,Cheek Pop
46868,Face Highlight
46869,Eye Brighten
46870,Eye Enhance
46871,Eye Smoke
46872,Face Bronzer
46873,Cheek Swish
46874,Cheek Pop
46875,Face Highlight
46876,Eye Brighten
46877,Eye Enhance
46878,Eye Smoke
46879,Face Bronzer
46880,Swish Blusher
46881,Pop Blusher
46882,Face Highlight
46883,Eye Brighten
46884,Eye Enhance
46885,Eye Smoke
46886,Face Bronzer
46887,Cheek Swish
46888,Cheek Pop
46889,Face Highlight
46890,Kim K W
46891,Hot Emily
46892,Penelope Pink
46893,Nude Kate
46894,Liv It Up
46895,Miranda May
46896,Hel's Bells
46897,Electric Poppy
46898,Kidman's Kiss
46899,Bosworth's Beauty
46900,Super Cindy
46901,Secret Salma
46902,Carina's Love
46903,Very Victoria
46904,Sexy Sienna
46905,02 Nude
46906,01 Pink
46907,TITANIUM DIOXIDE CI 77891
46908,"Brown Sugar, Baby"
46909,Hey Honey
46910,Illumi-Naughty
46911,Titanium Dioxide
46912,Light/Blonde
46913,Medium/Brown
46914,Deep/Bronze
46915,Gold
46916,Nude attitude
46917,Karma
46918,About last night
46919,Queen of everything
46920,It ain't easy
46921,Wanderlust
46922,Dream in tangerine - 5
46923,Rust or bust - 6
46924,01 fleur de sel
46925,02 sesame
46926,03 poppy
46927,04 ginger
46928,05 chicory
46929,06 coriander
46930,07 cumin
46931,08 caraway
46932,09 almond
46933,10 vanilla bean
46934,11 nutmeg
46935,12 cinnamon
46936,13 clove
46937,14 anise
46938,01  driftwood
46939,02 birch
46940,03 beechwood
46941,04 oak
46942,05 cork
46943,06 hickory
46944,07 maple
46945,08 bamboo
46946,09 sandalwood
46947,10 cedar
46948,11 koa
46949,12 chestnust
46950,13 walnut
46951,16 pepper
46952,01 dusk
46953,02 dawn
46954,03 high noon
46955,04 twilight
46956,27 Knock on wood
46957,28 Sink or suede
46958,29 Dressed to the 90s
46959,30 Grey area
46960,31 Monarch-y
46961,32 Hot sauce
46962,Let's get lost
46963,34 Animal instinct
46964,35 Bad apple
46965,36 Wild at heart
46966,37 Loud mouth
46967,38 Voodoo
46968,39 Oil slick
46969,40 Smoke & mirrors
46972,Mica
46973,Titanium Dioxide
46974,Titanium Dioxide
46975,Titanium Dioxide
46976,Titanium Dioxide
46977,Titanium Dioxide
46978,Mica
46979,Mica
46980,Titanium Dioxide
46981,Titanium Dioxide
46982,Mica
46983,Mica
46984,Titanium Dioxide
46985,Mica
46986,Titanium Dioxide
46987,Mica
46988,Titanium Dioxide
46989,Titanium Dioxide
46990,Mica
46991,Mica
46992,Titanium Dioxide
46993,Titanium Dioxide
46994,Mica
46995,Titanium Dioxide
46996,Titanium Dioxide
46997,01
46998,02
46999,03
47000,Orgasm
47001,Bounty
47002,Vogue Rose
47003,Fragrance
47004,Fragrance
47005,Titanium Dioxide
47006,Titanium Dioxide
47007,Titanium Dioxide
47008,Titanium Dioxide
47009,Titanium Dioxide
47010,Silica
47011,Silica
47012,Titanium Dioxide
47013,Silica
47014,Mica
47015,Titanium Dioxide
47026,Titanium Dioxide
47027,Titanium Dioxide
47028,Titanium Dioxide
47029,Titanium Dioxide
47030,Titanium Dioxide
47031,Titanium Dioxide
47032,Silica
47033,Silica
47034,Titanium Dioxide
47035,Titanium Dioxide
47036,Mica
47037,Mica
47038,Titanium Dioxide
47039,Mica
47040,Titanium Dioxide
47041,Titanium Dioxide
47042,Mica
47043,Titanium Dioxide
47044,Titanium Dioxide
47045,Titanium Dioxide
47046,Titanium Dioxide
47047,Mica
47048,Titanium Dioxide
47049,Titanium Dioxide
47050,Retinyl Palmitate
47051,Titanium Dioxide
47052,Titanium Dioxide
47053,Titanium Dioxide
47054,Titanium Dioxide
47055,Titanium Dioxide
47056,Titanium Dioxide
47057,Mica
47058,Titanium Dioxide
47059,Titanium Dioxide
47060,Titanium Dioxide
47061,No. 1
47062,No. 2
47063,Titanium Dioxide
47064,Titanium Dioxide
47065,Silica
47066,Silica
47067,Titanium Dioxide
47068,Titanium Dioxide
47069,Titanium Dioxide
47070,Titanium Dioxide
47071,Titanium Dioxide
47072,Titanium Dioxide
47073,Titanium Dioxide
47074,Titanium Dioxide
47075,Titanium Dioxide
47076,Titanium Dioxide
47077,Titanium Dioxide
47078,Titanium Dioxide
47079,Titanium Dioxide
47080,Titanium Dioxide
47081,Titanium Dioxide
47082,Titanium Dioxide
47084,No Color Found
47094,No Color Found
47095,Titanium Dioxide
47096,No Color Found
47097,No Color Found
47098,No Color Found
47099,No Color Found
47100,No Color Found
47101,No Color Found
47102,No Color Found
47103,No Color Found
47106,No Color Found
47107,No Color Found
47108,Cameo
47109,Porcelain
47110,Cream
47111,Beige
47112,Tan
47113,Cameo
47114,Porcelain
47115,Cream
47116,Beige
47117,Tan
47118,01
47119,02
47120,03
47121,Nude
47122,Rose
47123,Pink
47124,Coral
47125,No Color Found
47126,No Color Found
47127,Blossom
47128,Apricot
47129,No Color Found
47130,No Color Found
47131,No Color Found
47132,No Color Found
47133,No Color Found
47134,No Color Found
47135,No Color Found
47136,No Color Found
47137,No Color Found
47138,No Color Found
47139,No Color Found
47140,No Color Found
47141,No Color Found
47142,No Color Found
47143,No Color Found
47144,No Color Found
47145,No Color Found
47146,No Color Found
47147,No Color Found
47148,No Color Found
47149,No Color Found
47150,No Color Found
47151,No Color Found
47152,No Color Found
47153,No Color Found
47154,No Color Found
47155,No Color Found
47156,No Color Found
47157,No Color Found
47158,No Color Found
47159,No Color Found
47160,No Color Found
47161,No Color Found
47162,08 BOGOTA EMERALD
47163,05 CUSCO PINK OPAL
47164,06 BALI SUNSTONE
47165,07 SYDNEY TOPAZ
47166,No Color Found
47167,No Color Found
47168,No Color Found
47169,No Color Found
47170,No Color Found
47171,No Color Found
47172,No Color Found
47173,No Color Found
47174,No Color Found
47175,No Color Found
47176,No Color Found
47177,No Color Found
47178,No Color Found
47179,No Color Found
47180,No Color Found
47181,No Color Found
47182,Nude Beige
47183,Nude Plum
47184,Nude Pink
47185,Red
47186,Cinnamon
47187,Raisin
47188,Tea Rose
47189,Deep red
47190,Merlot
47191,01 SAND
47192,02 PEACH
47193,03 MAUVE
47194,04 BROWN SUGAR
47195,05 BLUSH
47196,06 CORAL
47197,07 ROSE
47198,08 KHAKI
47199,09 PLUM
47200,10 CHOCOLATE
47201,01 CRYSTAL
47202,2 CHAMPAGNE
47203,03 SHIMMERING CORAL
47204,04 PINK SPARKLE
47205,05 BRONZE BOW
47206,06 HOLLY RED
47207,07 WARM NUDE
47208,08 PEACH PERFECTION
47209,09 FLUSHED FUCHSIA
47210,10 SOFT RED
47211,11 VERY BERRY
47212,12 BURGUNDY
47213,No Color Found
47214,No Color Found
47215,No Color Found
47216,Gold Shimmer
47217,Silver Shimmer
47218,Rose Shimmer
47219,Holographic
47220,No Color Found
47221,White Light
47222,Gold Mine
47223,Copper Sand
47224,Druze
47225,Shooting Star
47226,Luster
47227,Ethereal
47228,No Color Found
47229,No Color Found
47230,No Color Found
47231,No Color Found
47232,No Color Found
47233,No Color Found
47234,No Color Found
47235,No Color Found
47236,No Color Found
47237,No Color Found
47238,No Color Found
47239,No Color Found
47240,No Color Found
47241,titanium dioxide
47242,No Color Found
47243,No Color Found
47244,No Color Found
47245,No Color Found
47246,No Color Found
47247,Shade 1
47248,Shade 2
47249,Shade 3
47250,Shade 1
47251,Shade 2
47252,Shade 3
47253,Light Brown
47254,Medium Brown
47255,Dark Brown
47256,Black
47257,Black
47258,Dark Brown
47259,Brunette
47260,Light Brown
47262,Bare Back
47263,In The Nude
47264,Naughty N Spice
47265,Bondi Bae
47266,Deep Maple Eh
47267,Brown Sugar Baby
47268,Illumi-Naughty
47269,Hey Honey
47270,Techno
47271,fair
47272,light
47273,light/medium
47274,medium
47275,medium/tan
47276,tan
47277,warm deep
47278,deep
47279,STRAWBERRY
47280,GREEN TEA
47281,VANILLA DELIGHT
47282,MANGO
47283,CANDIED PLUM
47284,COCONUT
47285,MORINGA
47286,PINK GRAPEFRUIT
47287,wifey
47288,frosty
47289,low key
47290,extra
47291,No Color Found
47292,No Color Found
47293,No Color Found
47294,No Color Found
47295,No Color Found
47296,No Color Found
47297,No Color Found
47298,No Color Found
47299,No Color Found
47300,Devious
47301,Fire
47302,Flawless
47303,Fresh
47304,Juicy
47305,Luxe
47306,Naughty
47307,OMG
47308,Shameless
47309,VIP
47310,010
47311,012
47312,014
47313,021
47314,023
47315,026
47316,034
47317,042
47318,055
47319,072
47320,No Color Found
47321,Orange - Omega
47322,Orange - Marula
47323,Orange - Coconut
47324,Orange - Omega
47325,Dark Brown
47326,Light Brown
47327,Black
47328,Light/Med
47329,Med/Dark
47330,Nude
47331,1 Darker
47332,1 Lighter
47333,3 Darker
47334,3 Lighter
47335,5 Darker
47336,5 Lighter
47337,Bubblegum
47338,Cherry
47339,Mango
47340,Pink-Berry
47344,Alpha
47345,Biba
47346,Flash
47347,Hustler
47348,NSFW
47349,Rebound
47350,Srsly Red
47351,Obsessed
47352,Elite
47353,Frenchie
47354,Tease
47355,Sugar Cookie
47356,Watermelon
47357,No Color Found
47358,No Color Found
47359,Midnight Toast (389546)
47360,Better Off Bold (389547)
47361,Spark My Interest (389548)
47362,Pearlocity (389549)
47363,Nude Mood (389044)
47364,Berry Berry Much (389028)
47365,Peach Club (389026)
47366,In The Pink (389024)
47367,Birthday Suit (389023)
47368,Make a Mauve (389025)
47369,Intoxicating (389542)
47370,Major (389543)
47371,Ivory/Sand (02/03) (389532)
47372,Tan/Honey (05/06) (389534)
47373,Almond/Caramel (07/08) (389535)
47374,Sand/Beige (03/04) (389533)
47375,Twany/Mocha (09/10) (389580)
47376,Fetish (389029)
47377,Top It Off (389031)
47378,Scenester (389030)
47379,Rage (389289)
47380,Daze (389290)
47381,A list (389291)
47382,Glow for the Gold (389551)
47383,Uncensored (389550)
47384,Glow Insane (389552)
47385,Outta This World (389553)
47386,See Through (389017)
47387,Pink-A-Boo (389020)
47388,Petal Pusher (389019)
47389,Burnt Up (389018)
47390,Neutral (389571)
47391,Apricot (389572)
47392,Golden (389573)
47393,Fawn (389574)
47394,Shade 1
47395,Shade 2
47396,Shade 3
47397,Shade 4
47398,Shade 5
47399,Shade 8
47400,Shade 1
47401,Shade 2
47402,Shade 3
47403,Shade 4
47404,Shade 5
47405,Shade 6
47406,Shade 8
47407,Shade 1
47408,Shade 2
47409,Shade 3
47410,Shade 4
47411,Shade 5
47412,Shade 6
47413,Shade 7
47414,Shade 8
47415,Shade 1
47416,Shade 2
47417,Shade 3
47418,Shade 4
47419,Shade 5
47420,Shade 6
47421,Shade 7
47422,Shade 8
47423,Porcelain/Ivory (389520)
47424,Sand/Beige (389521)
47425,Beige/Tan (389522)
47426,Tan/Honey (389523)
47427,Almond/Caramel (389524)
47428,Tawny/Mocha (389525)
47429,Porcelain/Ivory (389554)
47430,Ivory/Sand (389555)
47431,Sand/Beige (389556)
47432,Beige/Tan (389557)
47433,Tan/Honey (389558)
47434,Almond/Caramel (389559)
47435,Caramel/Tawny (389560)
47436,Tawny/Mocha (389561)
47437,Porcelain (389565)
47438,Ivory/Sand (389566)
47439,Beige/Tan (389567)
47440,Honey/Amond (389568)
47441,Caramel/Tawny (389569)
47442,Mocha (389570)
47443,Crave (389275)
47444,Passion (389278)
47445,WERK (389274)
47446,Rebel (389271)
47447,Siren (389272)
47448,Slay (389273)
47485,Amethyst Lust (389299)
47486,Bronze Crush (389298)
47487,Coper Obsession (389297)
47488,Diamond Love (389296)
47489,Mad for Topaz (389295)
47490,Pearl Delight (389294)
47491,Smokey Quartz (389293)
47492,Stardust Attraction (389315)
47493,Titanium Desire (389292)
47494,Ash Blonde (389307)
47495,Ash Brown (389308)
47496,Auburn (389309)
47497,Rich Brown (389310)
47498,Taupe (389311)
47499,Warm Brown (389312)
47500,Porcelain (389510)
47501,Ivory (389511)
47502,Sand (389512)
47503,Beige (389513)
47504,Tan (389514)
47505,Honey (389515)
47506,Almond (389516)
47507,Caramel (389517)
47508,Tawny (389518)
47509,Mocha (389519)
47510,Play On (389038)
47511,Yasss Kween (389039)
47512,Easy Glowing (389040)
47513,Whatever (389041)
47514,Best in Glow (389042)
47515,Glow Wonder (389043)
47516,Non Stop (389032)
47517,Boy Toy (389033)
47518,Beauty Call (389034)
47519,Blindfold (389035)
47520,Suave (389036)
47521,Come Over (389037)
47522,Kink (389046)
47523,Lush Over (389047)
47524,Blood Rush (389048)
47525,Out of Breath (389049)
47546,Always Black
47547,Apple Red
47548,Earthy Red
47549,Flamingo
47550,Jet Black
47551,Magic Color
47552,Medium Ash
47553,Mushroom
47554,Nude
47555,Pink Brick
47556,Rose Pink
47557,Tea Leaf
47558,Toffee
47559,Wet Black
47560,White
47561,Brunette
47562,Porcelain (389500)
47563,Ivory (389501)
47564,Sand (389502)
47565,Beige (389503)
47566,Tan (389504)
47567,Honey (389505)
47568,Almond (389506)
47569,Caramel (389507)
47570,Tawny (389508)
47571,Mocha (389509)
47572,Dark Peach (389562)
47573,Peach (389563)
47574,Light Peach (389564)
47575,Sweet Surprise (389536)
47576,Just For Fun (389537)
47577,Unicorn (389538)
47578,First Base (389539)
47579,Meet Cute (389540)
47580,Chatty (389541)
47581,Light (389544)
47582,Medium
47583,Deep (389545)
47584,Type A (389001)
47585,Girl Please (389002)
47586,Don't Go There (389003)
47587,First Kiss (389004)
47588,Topsy Turvey (389005)
47589,Yes Ma'am (389006)
47590,Toss & Turn (389007)
47591,Really? (389008)
47592,Binge Worthy (389009)
47593,Beat Face (389010)
47594,So Subversive (389011)
47595,Plastic Smile (389012)
47596,Lipstick & Chill (389013)
47597,Beauty Queen (389014)
47598,Dime (389015)
47599,Oh Yeah (389016)
47600,Poecelain (389526)
47606,Ivort/Sand (389527)
47607,Caramel/Tawny (389530)
47608,Mocha (389531)
47609,Glam Squad - Shade 1
47610,Glam Squad - Shade 2
47611,Glam Squad - Shade 3
47612,Hard Headed - Shade 1
47613,Rose Red
47614,Hard Headed - Shade 2
47615,Hard Headed - Shade 3
47616,Copper Obsession
47617,Titanium Desire
47618,Meet Up - Shade 1
47619,Meet Up - Shade 2
47620,Meet Up - Shade 3
47621,Tell Me - Shade 1
47622,Tell Me - Shade 2
47623,Tell Me - Shade 3
47624,Heart On - Shade 1
47625,Heart On - Shade 2
47626,Heart On - Shade 3
47627,Full Glam - Shade 1
47628,Full Glam - Shade 2
47629,Full Glam - Shade 3
47630,Fearless (389265)
47631,Flaunt (389268)
47632,Mischief (389266)
47633,Strut (389267)
47634,Ash Brown (389302)
47635,Warm Brown (389306)
47636,Ash Blonde (389301)
47637,Taupe (389305)
47638,Auburn (389303)
47662,Beige
47663,Blush
47664,Blue Brow Neutralizer
47665,Brown
47666,Deep Brown
47667,Blue Eyebrow Corrector
47668,Espresso
47669,Golden Brown
47670,Gray
47671,Hot Pink
47672,Light Brown
47673,Midnight Black
47674,Purple Eyebrow Corrector
47675,Pink
47676,Pink Mauve
47677,Real Red
47678,Rose Red
47679,Raisin
47680,True Black
47681,True Hazel
47682,Taupe
47683,White
47684,Red - Cranberry
47685,White - Hypoallergenic
47686,Tangerine and Guava
47687,Tangerine and Guava
47688,Grapeseed and Lemongrass
47689,Spa Mineral
47690,Vitamin Boost
47691,White Tea Vitamin E
47692,Blue - 3D Odor Defense
47693,Blue - Nutriskin
47694,19140 - Coconut Avocado
47695,42090
47696,Soothing Care
47697,Pura Fruta Refreshing Guava Watermelon
47698,Omega Moisture
47699,Advanced Fresh Spring
47700,Fresh Cut Blossom
47701,Fresh Cut Grass
47702,Fresh Cut Citrus
47703,Icy Aloe
47704,Miracle Oil Marula
47705,Fresh Reaction Alpine
47706,Fresh Reaction Sub Zero
47707,Power Scrub
47708,Fruit Peel
47709,7-methyl-3-methyleneocta-1
47710,01
47711,02
47712,03
47713,Gold
47714,Silver
47715,Black
47716,Jet Black
47717,BEST ACTRESS
47718,SHOW GIRL
47719,CHARLOTTE DARLING
47720,PIN UP PINK
47721,RISING STAR
47722,TOO BAD I'M BAD
47723,DANGEROUS LIASON
47724,PLATINUM BLONDE
47725,DOLLY BIRD
47726,SWEETHEART
47727,LIGHT TO MEDIUM
47728,MEDIUM TO DARK
47730,Gold Bond Ultimate Healing Type
47731,mars
47732,white
47733,pink
47734,blue
47735,white
47736,bronze
47737,rose
47738,gold & silver
47739,supernova
47740,mars
47741,Dayle
47742,Vibeke
47743,Linda
47744,Kirat
47745,Bella
47746,Delphine
47747,Margot
47748,Isabella
47749,Park City
47750,Blissful
47751,Angel Pride II
47752,Angel Pride III
47753,Angel Pride IV
47754,Titania
47755,Hydra
47756,IV
47757,VI
47758,Corniche
47759,Crique
47760,Galet
47761,Sorrento
47762,Naxos
47763,Altiplano
47764,Orgasm
47765,Torrid
47766,Luster
47767,Dolce Vita
47768,Fox Dancer
47769,Hot Sand
47770,Remember Me
47771,Slow Ride
47772,Slow Ride
47773,London Calling
47774,Walk This Way
47775,Under My Thumb
47776,Get It On
47777,Warm Leatherette
47778,Save The Queen
47779,Low Rider
47780,Give It Up
47781,Get Up Stand Up
47782,Light My Fire
47783,Don't Stop
47784,American Woman
47785,Starwoman
47786,Rock With You
47787,Done It Again
47788,Paint It Black
47789,Wild Night
47790,Just What I Needed
47791,Just Push Play
47792,Camargue
47793,Halong Bay
47794,Vence
47795,L�rins
47796,Cap-D'Ail
47797,Saint-Rapha�l
47798,Juan-Les-Pins
47799,Holy Red
47800,Porquerolles
47801,Arles
47802,Menton
47803,Grasse
47804,Sainte-Maxime
47805,Port Grimaud
47806,Gordes
47807,Rouge Marocain
47808,Marnie
47809,Le Lavandou
47810,Cassis
47811,Star Rockin'
47812,Hy�res
47813,Spunk
47814,Nasty Girl
47815,Burning Love
47816,Californiacation
47817,Immoral
47818,Night Together
47819,Rapture
47820,Staying Alive
47821,Siberia
47822,Mont Blanc
47823,Gobi
47824,Deauville
47825,Fiji
47826,Ceylan
47827,Punjab
47828,Vallauris
47829,Santa Fe
47830,Stromboli
47831,Barcelona
47832,Syracuse
47833,Tahoe
47834,Cadiz
47835,Macao
47836,New Guinea
47837,Trinidad
47838,New Orleans
47839,Benares
47840,Khartoum
47841,Justine
47842,Maria Carla
47843,Melody N
47844,Soleil de Pluie
47845,Bonifacio
47846,Lesbos
47847,Rouge Immortel
47848,Rouge Palatin
47849,Corfu
47850,Nepal
47851,Christopher Kane Chroma Chrome
47852,Orgasm
47853,Prism
47854,Gilded
47855,Celestial
47856,Golden Peach
47857,Blossom
47858,Rose Gold
47859,3
47860,3
47861,5
47862,5 Deep
47863,13463-97-7
47864,Cisco 3 Smoke
47865,Day 2 Enhance
47866,Desk 1 Prime
47867,Date 1 Prime
47868,Disco 3 Smoke
47869,Date 2 Enhance
47870,Disco 1 Prime
47871,Disco 2 Enhance
47872,Day 3 Smoke
47874,570 #KK?CORAL
47875,571 #KK?BEIGE
47876,572 #KK?RED
47877,573 #KK?PINK
47878,574 #KK?ORANGE
47880,30 Matin�e
47881,39 Desert trip
47882,51 Festival lights
47883,13 Coconut grove
47884,32 Berry-licious
47885,3 Oui !
47886,6 Tan lines
47887,17 Carnival fun
47888,19 Street style
47889,47 Cash money
47890,28 Popsicle lips
47891,20 Buzz me
47892,4 Somewhere in Spain
47893,36 Spring break
47894,11 Fire side
47895,10 Yum yum
47896,2 Landing in Shangai
47897,21 Pineapple express
47898,37 Hot in Havana
47899,14 Twolips
47900,35 Take a bite
47901,38 Off-limits
47902,9 Labyrinth city
47903,23 After hour
47904,26 All washed up
47905,1 Brunch date
47906,12 Celebrate
47907,31 Golden gate
47908,50 Trippin
47909,7 Love love
47910,41 Take a spin
47911,42 No cell service
47912,49 Ouch!
47913,48 Just add tinsel
47914,46 Ice breaker
47915,43 In the clouds
47916,44 Woof
47917,45 City beat
47918,Ultra Noir
47919,4 - Red Berry
47920,5 - White Snow
47921,6 - Creamy Beige
47922,1 - Deep Black
47923,2 - Brown Chestnut
47924,3 - Warm Kaki
47925,01 Delicate glow
47926,02 Natural glow
47927,23 Beige naturel
47928,25 Beige
47929,26 P�che
47930,30 Sable
47931,31 Amande
47932,33 Noix
47933,35 Bronze
47934,45  Caf� latte
47935,10 Ivoire
47936,11 Ivoire pure
47937,13 Porcelaine ros�
47938,14 Beige d�licat
47939,15 Cr�me abricot�
47940,20 Cr�me
47941,21 Cr�me vanille
47942,22 Naturel
47943,04 Ash brown
47944,05 Light brown
47945,31 Eye Candy
47946,28 Soulmate
47947,32 Red alert
47948,29 Model citizen
47949,41 Highlight - Champagne
47950,42 Highlight - Pearl
47951,43 Highlight - Gold
47952,08 Chocolate Brown
47953,09 Dark Charcoal
